global step=26, episodic return=25.685775756835938
global step=55, episodic return=26.699359893798828
global step=82, episodic return=17.547746658325195
global step=217, episodic return=135.4326629638672
global step=279, episodic return=84.78661346435547
global step=321, episodic return=28.337739944458008
global step=368, episodic return=80.05338287353516
global step=414, episodic return=47.20183563232422
global step=507, episodic return=99.22704315185547
global step=550, episodic return=43.656715393066406
global step=611, episodic return=61.436702728271484
global step=845, episodic return=283.34674072265625
global step=873, episodic return=15.897628784179688
global step=940, episodic return=72.86162567138672
global step=974, episodic return=37.26363754272461
global step=1027, episodic return=33.15974044799805
global step=1083, episodic return=67.51221466064453
global step=1153, episodic return=81.99111938476562
global step=1212, episodic return=79.03266906738281
global step=1274, episodic return=62.34587097167969
global step=1317, episodic return=51.993736267089844
global step=1344, episodic return=35.555118560791016
global step=1410, episodic return=47.22245788574219
global step=1486, episodic return=69.4603042602539
global step=1551, episodic return=88.22852325439453
global step=1676, episodic return=131.0770263671875
global step=1721, episodic return=37.63731002807617
global step=2062, episodic return=329.8862609863281
global step=2087, episodic return=33.66299057006836
global step=2107, episodic return=24.889101028442383
global step=2161, episodic return=60.62123107910156
global step=2193, episodic return=36.41405487060547
global step=2222, episodic return=26.9250545501709
global step=2329, episodic return=162.56036376953125
global step=2518, episodic return=217.5635986328125
global step=2589, episodic return=76.4487075805664
global step=2803, episodic return=237.0758056640625
global step=2905, episodic return=88.66071319580078
global step=3138, episodic return=225.7876434326172
global step=3167, episodic return=39.326759338378906
global step=3213, episodic return=43.78446960449219
global step=3250, episodic return=56.7547492980957
global step=3275, episodic return=29.295690536499023
global step=3306, episodic return=41.926551818847656
global step=3561, episodic return=271.1589050292969
global step=3584, episodic return=18.721843719482422
global step=3609, episodic return=27.559898376464844
global step=3824, episodic return=277.7109680175781
global step=3840, episodic return=19.147686004638672
global step=3860, episodic return=17.768774032592773
global step=3909, episodic return=40.89229965209961
global step=3947, episodic return=35.07362365722656
global step=4124, episodic return=220.65203857421875
global step=4176, episodic return=75.07591247558594
global step=4199, episodic return=20.66783332824707
global step=4330, episodic return=153.82582092285156
global step=4356, episodic return=33.47824478149414
global step=4423, episodic return=96.33386993408203
global step=4792, episodic return=404.36077880859375
global step=4839, episodic return=72.9012451171875
global step=4868, episodic return=31.986597061157227
global step=5156, episodic return=361.7872314453125
global step=5269, episodic return=102.79168701171875
global step=5301, episodic return=31.111892700195312
global step=5360, episodic return=63.90738296508789
global step=5619, episodic return=308.16363525390625
global step=5656, episodic return=25.12894058227539
global step=5758, episodic return=78.60228729248047
global step=5813, episodic return=62.30445098876953
global step=5906, episodic return=100.44410705566406
global step=5930, episodic return=29.40398597717285
global step=6221, episodic return=338.0682067871094
global step=6458, episodic return=272.1804504394531
global step=6727, episodic return=311.5332336425781
global step=7336, episodic return=654.0477905273438
global step=8041, episodic return=669.5433349609375
global step=8118, episodic return=113.77536010742188
global step=8817, episodic return=771.3453369140625
global step=9817, episodic return=965.7940063476562
global step=10607, episodic return=778.83203125
global step=11607, episodic return=1012.4282836914062
global step=11972, episodic return=440.14666748046875
global step=12972, episodic return=969.5077514648438
global step=13972, episodic return=971.9622192382812
global step=14972, episodic return=963.1891479492188
global step=15972, episodic return=994.8148803710938
global step=16972, episodic return=972.091064453125
