global step=44, episodic return=11.0
global step=104, episodic return=15.0
global step=120, episodic return=30.0
global step=128, episodic return=32.0
global step=128, episodic return=32.0
global step=148, episodic return=11.0
global step=176, episodic return=14.0
global step=208, episodic return=15.0
global step=236, episodic return=27.0
global step=280, episodic return=11.0
global step=284, episodic return=27.0
global step=292, episodic return=21.0
global step=340, episodic return=12.0
global step=344, episodic return=15.0
global step=404, episodic return=16.0
global step=424, episodic return=36.0
global step=424, episodic return=74.0
global step=456, episodic return=13.0
global step=468, episodic return=31.0
global step=472, episodic return=12.0
global step=524, episodic return=17.0
global step=524, episodic return=25.0
global step=532, episodic return=16.0
global step=560, episodic return=22.0
global step=632, episodic return=25.0
global step=636, episodic return=28.0
global step=652, episodic return=23.0
global step=668, episodic return=36.0
global step=692, episodic return=15.0
global step=740, episodic return=22.0
global step=748, episodic return=28.0
global step=760, episodic return=23.0
global step=796, episodic return=14.0
global step=804, episodic return=14.0
global step=808, episodic return=12.0
global step=860, episodic return=14.0
global step=888, episodic return=49.0
global step=912, episodic return=29.0
global step=936, episodic return=19.0
global step=968, episodic return=14.0
global step=988, episodic return=25.0
global step=1044, episodic return=19.0
global step=1056, episodic return=30.0
global step=1072, episodic return=21.0
global step=1140, episodic return=24.0
global step=1144, episodic return=22.0
global step=1156, episodic return=87.0
global step=1164, episodic return=23.0
global step=1264, episodic return=27.0
global step=1284, episodic return=35.0
global step=1308, episodic return=11.0
global step=1312, episodic return=43.0
global step=1352, episodic return=47.0
global step=1368, episodic return=21.0
global step=1384, episodic return=18.0
global step=1408, episodic return=14.0
global step=1432, episodic return=31.0
global step=1432, episodic return=16.0
global step=1528, episodic return=24.0
global step=1544, episodic return=28.0
global step=1552, episodic return=42.0
global step=1580, episodic return=13.0
global step=1600, episodic return=14.0
global step=1732, episodic return=81.0
global step=1732, episodic return=45.0
global step=1820, episodic return=60.0
global step=1824, episodic return=23.0
global step=1856, episodic return=64.0
global step=1864, episodic return=10.0
global step=1888, episodic return=17.0
global step=1904, episodic return=10.0
global step=1932, episodic return=11.0
global step=1960, episodic return=14.0
global step=1992, episodic return=34.0
global step=2080, episodic return=37.0
global step=2092, episodic return=90.0
global step=2096, episodic return=34.0
global step=2120, episodic return=32.0
global step=2180, episodic return=21.0
global step=2228, episodic return=27.0
global step=2264, episodic return=43.0
global step=2272, episodic return=48.0
global step=2336, episodic return=39.0
global step=2360, episodic return=33.0
global step=2368, episodic return=26.0
global step=2384, episodic return=28.0
global step=2528, episodic return=40.0
global step=2528, episodic return=42.0
global step=2548, episodic return=53.0
global step=2564, episodic return=45.0
global step=2588, episodic return=15.0
global step=2684, episodic return=39.0
global step=2724, episodic return=44.0
global step=2900, episodic return=84.0
global step=2908, episodic return=80.0
global step=2996, episodic return=22.0
global step=3092, episodic return=48.0
global step=3108, episodic return=96.0
global step=3128, episodic return=111.0
global step=3240, episodic return=28.0
global step=3264, episodic return=39.0
global step=3396, episodic return=39.0
global step=3412, episodic return=80.0
global step=3436, episodic return=110.0
global step=3460, episodic return=49.0
global step=3576, episodic return=45.0
global step=3592, episodic return=39.0
global step=3688, episodic return=28.0
global step=3700, episodic return=27.0
global step=3744, episodic return=71.0
global step=3772, episodic return=90.0
global step=3884, episodic return=49.0
global step=4096, episodic return=88.0
global step=4120, episodic return=105.0
global step=4188, episodic return=104.0
global step=4200, episodic return=79.0
global step=4276, episodic return=45.0
global step=4304, episodic return=29.0
global step=4496, episodic return=94.0
global step=4500, episodic return=75.0
global step=4612, episodic return=77.0
global step=4628, episodic return=33.0
global step=4792, episodic return=129.0
global step=4960, episodic return=87.0
global step=4992, episodic return=91.0
global step=5308, episodic return=202.0
global step=5500, episodic return=177.0
global step=5500, episodic return=127.0
global step=5772, episodic return=203.0
global step=5856, episodic return=137.0
global step=5984, episodic return=53.0
global step=6144, episodic return=161.0
global step=6156, episodic return=164.0
global step=6264, episodic return=102.0
global step=6612, episodic return=117.0
global step=6656, episodic return=168.0
global step=6780, episodic return=156.0
global step=7172, episodic return=129.0
global step=7204, episodic return=148.0
global step=7476, episodic return=303.0
global step=7644, episodic return=216.0
global step=7992, episodic return=205.0
global step=8236, episodic return=258.0
global step=8448, episodic return=201.0
global step=8576, episodic return=275.0
global step=9252, episodic return=254.0
global step=9376, episodic return=200.0
global step=9572, episodic return=395.0
global step=10152, episodic return=225.0
global step=10176, episodic return=200.0
global step=10304, episodic return=183.0
global step=10448, episodic return=500.0
global step=10616, episodic return=116.0
global step=10952, episodic return=194.0
global step=11152, episodic return=212.0
global step=11580, episodic return=283.0
global step=12316, episodic return=184.0
global step=12468, episodic return=463.0
global step=12540, episodic return=347.0
global step=12616, episodic return=416.0
global step=12976, episodic return=165.0
global step=13780, episodic return=328.0
global step=14000, episodic return=346.0
global step=14540, episodic return=500.0
global step=14976, episodic return=500.0
global step=15000, episodic return=250.0
global step=15780, episodic return=500.0
global step=16012, episodic return=368.0
global step=16232, episodic return=314.0
global step=16720, episodic return=430.0
global step=17632, episodic return=350.0
global step=17780, episodic return=500.0
global step=18012, episodic return=500.0
global step=18720, episodic return=500.0
global step=19080, episodic return=362.0
global step=19780, episodic return=500.0
global step=19892, episodic return=470.0
global step=20704, episodic return=496.0
global step=21080, episodic return=500.0
global step=21780, episodic return=500.0
global step=21892, episodic return=500.0
global step=22704, episodic return=500.0
global step=23080, episodic return=500.0
global step=23780, episodic return=500.0
global step=23892, episodic return=500.0
global step=24704, episodic return=500.0
global step=25080, episodic return=500.0
global step=25780, episodic return=500.0
global step=25892, episodic return=500.0
global step=26704, episodic return=500.0
global step=26796, episodic return=254.0
global step=27080, episodic return=500.0
global step=27764, episodic return=171.0
global step=27892, episodic return=500.0
global step=28704, episodic return=500.0
global step=28796, episodic return=500.0
global step=28932, episodic return=292.0
global step=29892, episodic return=500.0
global step=30152, episodic return=362.0
global step=30796, episodic return=500.0
global step=30932, episodic return=500.0
global step=31724, episodic return=198.0
global step=31892, episodic return=500.0
global step=32152, episodic return=500.0
global step=32428, episodic return=408.0
global step=33576, episodic return=356.0
global step=33724, episodic return=500.0
global step=33892, episodic return=500.0
global step=34016, episodic return=397.0
global step=35164, episodic return=318.0
global step=35460, episodic return=434.0
global step=35576, episodic return=500.0
global step=36016, episodic return=500.0
global step=37164, episodic return=500.0
global step=37460, episodic return=500.0
global step=37576, episodic return=500.0
global step=38016, episodic return=500.0
global step=39164, episodic return=500.0
global step=39460, episodic return=500.0
global step=39576, episodic return=500.0
global step=40016, episodic return=500.0
global step=41164, episodic return=500.0
global step=41424, episodic return=491.0
global step=41460, episodic return=361.0
global step=41576, episodic return=500.0
global step=43164, episodic return=500.0
global step=43424, episodic return=500.0
global step=43460, episodic return=500.0
global step=43576, episodic return=500.0
global step=45060, episodic return=371.0
global step=45164, episodic return=500.0
global step=45424, episodic return=500.0
global step=45460, episodic return=500.0
global step=47060, episodic return=500.0
global step=47164, episodic return=500.0
global step=47424, episodic return=500.0
global step=47460, episodic return=500.0
global step=49060, episodic return=500.0
global step=49164, episodic return=500.0
global step=49424, episodic return=500.0
global step=49460, episodic return=500.0
global step=51060, episodic return=500.0
global step=51164, episodic return=500.0
global step=51424, episodic return=500.0
global step=51460, episodic return=500.0
global step=52148, episodic return=246.0
global step=52392, episodic return=233.0
global step=53060, episodic return=500.0
global step=53140, episodic return=248.0
global step=53424, episodic return=500.0
global step=54392, episodic return=500.0
global step=55060, episodic return=500.0
global step=55140, episodic return=500.0
global step=55424, episodic return=500.0
global step=56392, episodic return=500.0
global step=56704, episodic return=411.0
global step=57140, episodic return=500.0
global step=57424, episodic return=500.0
global step=58392, episodic return=500.0
global step=58704, episodic return=500.0
global step=59140, episodic return=500.0
global step=59424, episodic return=500.0
global step=60392, episodic return=500.0
global step=60704, episodic return=500.0
global step=61140, episodic return=500.0
global step=61424, episodic return=500.0
global step=62392, episodic return=500.0
global step=62704, episodic return=500.0
global step=63140, episodic return=500.0
global step=63424, episodic return=500.0
global step=64392, episodic return=500.0
global step=64704, episodic return=500.0
global step=65140, episodic return=500.0
global step=65424, episodic return=500.0
global step=66392, episodic return=500.0
global step=66704, episodic return=500.0
global step=67140, episodic return=500.0
global step=67424, episodic return=500.0
global step=68392, episodic return=500.0
global step=68704, episodic return=500.0
global step=69140, episodic return=500.0
global step=69424, episodic return=500.0
global step=70392, episodic return=500.0
global step=70704, episodic return=500.0
global step=71140, episodic return=500.0
global step=71424, episodic return=500.0
global step=72392, episodic return=500.0
global step=72704, episodic return=500.0
global step=73140, episodic return=500.0
global step=73424, episodic return=500.0
global step=74392, episodic return=500.0
global step=74704, episodic return=500.0
global step=75140, episodic return=500.0
global step=75424, episodic return=500.0
global step=76392, episodic return=500.0
global step=76704, episodic return=500.0
global step=77140, episodic return=500.0
global step=77424, episodic return=500.0
global step=78392, episodic return=500.0
global step=78704, episodic return=500.0
global step=79140, episodic return=500.0
global step=79424, episodic return=500.0
global step=80392, episodic return=500.0
global step=80704, episodic return=500.0
global step=81140, episodic return=500.0
global step=81424, episodic return=500.0
global step=82392, episodic return=500.0
global step=82704, episodic return=500.0
global step=83140, episodic return=500.0
global step=83424, episodic return=500.0
global step=84392, episodic return=500.0
global step=84704, episodic return=500.0
global step=85140, episodic return=500.0
global step=85424, episodic return=500.0
global step=86392, episodic return=500.0
global step=86704, episodic return=500.0
global step=87140, episodic return=500.0
global step=87424, episodic return=500.0
global step=88392, episodic return=500.0
global step=88704, episodic return=500.0
global step=89140, episodic return=500.0
global step=89424, episodic return=500.0
global step=90392, episodic return=500.0
global step=90704, episodic return=500.0
global step=91140, episodic return=500.0
global step=91424, episodic return=500.0
global step=92392, episodic return=500.0
global step=92704, episodic return=500.0
global step=93140, episodic return=500.0
global step=93424, episodic return=500.0
global step=94392, episodic return=500.0
global step=94704, episodic return=500.0
global step=95140, episodic return=500.0
global step=95424, episodic return=500.0
global step=96392, episodic return=500.0
global step=96704, episodic return=500.0
global step=97140, episodic return=500.0
global step=97424, episodic return=500.0
global step=98392, episodic return=500.0
global step=98704, episodic return=500.0
global step=99140, episodic return=500.0
global step=99424, episodic return=500.0
global step=100392, episodic return=500.0
global step=100704, episodic return=500.0
global step=101140, episodic return=500.0
global step=101424, episodic return=500.0
global step=102392, episodic return=500.0
global step=102704, episodic return=500.0
global step=103140, episodic return=500.0
global step=103424, episodic return=500.0
global step=104392, episodic return=500.0
global step=104704, episodic return=500.0
global step=105140, episodic return=500.0
global step=105424, episodic return=500.0
global step=106392, episodic return=500.0
global step=106704, episodic return=500.0
global step=107140, episodic return=500.0
global step=107424, episodic return=500.0
global step=108392, episodic return=500.0
global step=108704, episodic return=500.0
global step=109140, episodic return=500.0
global step=109424, episodic return=500.0
global step=110392, episodic return=500.0
global step=110704, episodic return=500.0
global step=111140, episodic return=500.0
global step=111424, episodic return=500.0
global step=112392, episodic return=500.0
global step=112704, episodic return=500.0
global step=113140, episodic return=500.0
global step=113424, episodic return=500.0
global step=114392, episodic return=500.0
global step=114704, episodic return=500.0
global step=115140, episodic return=500.0
global step=115424, episodic return=500.0
global step=116392, episodic return=500.0
global step=116704, episodic return=500.0
global step=117140, episodic return=500.0
global step=117424, episodic return=500.0
global step=118392, episodic return=500.0
global step=118704, episodic return=500.0
global step=119140, episodic return=500.0
global step=119424, episodic return=500.0
global step=120392, episodic return=500.0
global step=120704, episodic return=500.0
global step=121140, episodic return=500.0
global step=121424, episodic return=500.0
global step=122392, episodic return=500.0
global step=122704, episodic return=500.0
global step=123140, episodic return=500.0
global step=123424, episodic return=500.0
global step=124392, episodic return=500.0
global step=124704, episodic return=500.0
global step=125140, episodic return=500.0
global step=125424, episodic return=500.0
global step=126392, episodic return=500.0
global step=126704, episodic return=500.0
global step=127140, episodic return=500.0
global step=127424, episodic return=500.0
global step=128392, episodic return=500.0
global step=128704, episodic return=500.0
global step=129140, episodic return=500.0
global step=129424, episodic return=500.0
global step=130392, episodic return=500.0
global step=130704, episodic return=500.0
global step=131140, episodic return=500.0
global step=131424, episodic return=500.0
global step=132392, episodic return=500.0
global step=132704, episodic return=500.0
global step=133140, episodic return=500.0
global step=133424, episodic return=500.0
global step=134392, episodic return=500.0
global step=134704, episodic return=500.0
global step=135140, episodic return=500.0
global step=135424, episodic return=500.0
global step=136392, episodic return=500.0
global step=136704, episodic return=500.0
global step=137140, episodic return=500.0
