global step=44, episodic return=11.0
global step=104, episodic return=15.0
global step=120, episodic return=30.0
global step=128, episodic return=32.0
global step=128, episodic return=32.0
global step=148, episodic return=11.0
global step=176, episodic return=14.0
global step=208, episodic return=15.0
global step=236, episodic return=27.0
global step=280, episodic return=11.0
global step=284, episodic return=27.0
global step=292, episodic return=21.0
global step=340, episodic return=12.0
global step=344, episodic return=15.0
global step=404, episodic return=16.0
global step=424, episodic return=36.0
global step=424, episodic return=74.0
global step=456, episodic return=13.0
global step=468, episodic return=31.0
global step=472, episodic return=12.0
global step=524, episodic return=17.0
global step=524, episodic return=25.0
global step=532, episodic return=16.0
global step=560, episodic return=22.0
global step=632, episodic return=25.0
global step=636, episodic return=28.0
global step=652, episodic return=23.0
global step=668, episodic return=36.0
global step=692, episodic return=15.0
global step=740, episodic return=22.0
global step=748, episodic return=28.0
global step=760, episodic return=23.0
global step=796, episodic return=14.0
global step=804, episodic return=14.0
global step=808, episodic return=12.0
global step=860, episodic return=14.0
global step=888, episodic return=49.0
global step=912, episodic return=29.0
global step=936, episodic return=19.0
global step=968, episodic return=14.0
global step=988, episodic return=25.0
global step=1044, episodic return=19.0
global step=1056, episodic return=30.0
global step=1072, episodic return=21.0
global step=1140, episodic return=24.0
global step=1144, episodic return=22.0
global step=1156, episodic return=87.0
global step=1164, episodic return=23.0
global step=1264, episodic return=27.0
global step=1284, episodic return=35.0
global step=1308, episodic return=11.0
global step=1312, episodic return=43.0
global step=1352, episodic return=47.0
global step=1368, episodic return=21.0
global step=1384, episodic return=18.0
global step=1408, episodic return=14.0
global step=1432, episodic return=31.0
global step=1432, episodic return=16.0
global step=1528, episodic return=24.0
global step=1544, episodic return=28.0
global step=1552, episodic return=42.0
global step=1580, episodic return=13.0
global step=1600, episodic return=14.0
global step=1732, episodic return=81.0
global step=1732, episodic return=45.0
global step=1820, episodic return=60.0
global step=1824, episodic return=23.0
global step=1856, episodic return=64.0
global step=1864, episodic return=10.0
global step=1888, episodic return=17.0
global step=1904, episodic return=10.0
global step=1932, episodic return=11.0
global step=1960, episodic return=14.0
global step=1992, episodic return=34.0
global step=2080, episodic return=37.0
global step=2092, episodic return=90.0
global step=2096, episodic return=34.0
global step=2120, episodic return=32.0
global step=2180, episodic return=21.0
global step=2228, episodic return=27.0
global step=2264, episodic return=43.0
global step=2272, episodic return=48.0
global step=2336, episodic return=39.0
global step=2360, episodic return=33.0
global step=2368, episodic return=26.0
global step=2384, episodic return=28.0
global step=2528, episodic return=40.0
global step=2548, episodic return=53.0
global step=2564, episodic return=45.0
global step=2588, episodic return=15.0
global step=2684, episodic return=81.0
global step=2724, episodic return=44.0
global step=2900, episodic return=84.0
global step=2908, episodic return=80.0
global step=2996, episodic return=22.0
global step=3012, episodic return=72.0
global step=3092, episodic return=48.0
global step=3128, episodic return=111.0
global step=3240, episodic return=28.0
global step=3268, episodic return=64.0
global step=3408, episodic return=42.0
global step=3412, episodic return=80.0
global step=3412, episodic return=104.0
global step=3568, episodic return=39.0
global step=3608, episodic return=85.0
global step=3648, episodic return=60.0
global step=3732, episodic return=41.0
global step=3904, episodic return=64.0
global step=3944, episodic return=133.0
global step=4076, episodic return=33.0
global step=4152, episodic return=136.0
global step=4188, episodic return=71.0
global step=4320, episodic return=61.0
global step=4332, episodic return=45.0
global step=4460, episodic return=32.0
global step=4472, episodic return=71.0
global step=4552, episodic return=205.0
global step=4652, episodic return=83.0
global step=4808, episodic return=87.0
global step=4852, episodic return=95.0
global step=4860, episodic return=77.0
global step=4940, episodic return=72.0
global step=5296, episodic return=122.0
global step=5592, episodic return=163.0
global step=5792, episodic return=233.0
global step=6044, episodic return=298.0
global step=6100, episodic return=201.0
global step=6132, episodic return=135.0
global step=6452, episodic return=165.0
global step=6552, episodic return=113.0
global step=7160, episodic return=177.0
global step=7464, episodic return=355.0
global step=7724, episodic return=141.0
global step=7756, episodic return=406.0
global step=8296, episodic return=436.0
global step=8908, episodic return=296.0
global step=9116, episodic return=340.0
global step=9140, episodic return=419.0
global step=9380, episodic return=271.0
global step=9620, episodic return=178.0
global step=9792, episodic return=169.0
global step=10092, episodic return=238.0
global step=10380, episodic return=147.0
global step=10680, episodic return=147.0
global step=10924, episodic return=326.0
global step=10996, episodic return=404.0
global step=11400, episodic return=255.0
global step=11588, episodic return=227.0
global step=12124, episodic return=134.0
global step=12140, episodic return=304.0
global step=12716, episodic return=430.0
global step=12820, episodic return=174.0
global step=12860, episodic return=365.0
global step=13088, episodic return=237.0
global step=13728, episodic return=227.0
global step=14716, episodic return=500.0
global step=14860, episodic return=500.0
global step=15088, episodic return=500.0
global step=15728, episodic return=500.0
global step=16716, episodic return=500.0
global step=16796, episodic return=427.0
global step=16860, episodic return=500.0
global step=17728, episodic return=500.0
global step=18716, episodic return=500.0
global step=18796, episodic return=500.0
global step=18860, episodic return=500.0
global step=19728, episodic return=500.0
global step=19940, episodic return=270.0
global step=20580, episodic return=213.0
global step=20716, episodic return=500.0
global step=20796, episodic return=500.0
global step=21120, episodic return=295.0
global step=21396, episodic return=204.0
global step=21476, episodic return=190.0
global step=21544, episodic return=187.0
global step=21676, episodic return=139.0
global step=21980, episodic return=146.0
global step=22152, episodic return=169.0
global step=22304, episodic return=190.0
global step=22356, episodic return=170.0
global step=22572, episodic return=148.0
global step=22952, episodic return=162.0
global step=23036, episodic return=221.0
global step=23264, episodic return=227.0
global step=23764, episodic return=298.0
global step=23904, episodic return=238.0
global step=24128, episodic return=273.0
global step=24856, episodic return=398.0
global step=25764, episodic return=500.0
global step=25904, episodic return=500.0
global step=26128, episodic return=500.0
global step=26856, episodic return=500.0
global step=26988, episodic return=215.0
global step=27764, episodic return=500.0
global step=27904, episodic return=500.0
global step=28856, episodic return=500.0
global step=28988, episodic return=500.0
global step=29764, episodic return=500.0
global step=29904, episodic return=500.0
global step=30856, episodic return=500.0
global step=30988, episodic return=500.0
global step=31764, episodic return=500.0
global step=31904, episodic return=500.0
global step=32816, episodic return=457.0
global step=32856, episodic return=500.0
global step=33764, episodic return=500.0
global step=33904, episodic return=500.0
global step=34336, episodic return=370.0
global step=34816, episodic return=500.0
global step=35764, episodic return=500.0
global step=35904, episodic return=500.0
global step=36336, episodic return=500.0
global step=36816, episodic return=500.0
global step=37764, episodic return=500.0
global step=37904, episodic return=500.0
global step=38336, episodic return=500.0
global step=38816, episodic return=500.0
global step=39764, episodic return=500.0
global step=39904, episodic return=500.0
global step=40128, episodic return=448.0
global step=40816, episodic return=500.0
global step=41132, episodic return=251.0
global step=41144, episodic return=310.0
global step=41168, episodic return=351.0
global step=42816, episodic return=500.0
global step=43132, episodic return=500.0
global step=43144, episodic return=500.0
global step=43168, episodic return=500.0
global step=43916, episodic return=275.0
global step=44420, episodic return=313.0
global step=45132, episodic return=500.0
global step=45144, episodic return=500.0
global step=45916, episodic return=500.0
global step=46420, episodic return=500.0
global step=47132, episodic return=500.0
global step=47144, episodic return=500.0
global step=47916, episodic return=500.0
global step=48420, episodic return=500.0
global step=49132, episodic return=500.0
global step=49144, episodic return=500.0
global step=49284, episodic return=216.0
global step=49916, episodic return=500.0
global step=50996, episodic return=463.0
global step=51132, episodic return=500.0
global step=51284, episodic return=500.0
global step=51916, episodic return=500.0
global step=52996, episodic return=500.0
global step=53132, episodic return=500.0
global step=53284, episodic return=500.0
global step=53916, episodic return=500.0
global step=54996, episodic return=500.0
global step=55132, episodic return=500.0
global step=55284, episodic return=500.0
global step=55916, episodic return=500.0
global step=56996, episodic return=500.0
global step=57132, episodic return=500.0
global step=57284, episodic return=500.0
global step=57916, episodic return=500.0
global step=58996, episodic return=500.0
global step=59132, episodic return=500.0
global step=59284, episodic return=500.0
global step=59916, episodic return=500.0
global step=60996, episodic return=500.0
global step=61132, episodic return=500.0
global step=61284, episodic return=500.0
global step=61916, episodic return=500.0
global step=62996, episodic return=500.0
global step=63132, episodic return=500.0
global step=63284, episodic return=500.0
global step=63916, episodic return=500.0
global step=64996, episodic return=500.0
global step=65132, episodic return=500.0
global step=65284, episodic return=500.0
global step=65916, episodic return=500.0
global step=66996, episodic return=500.0
global step=67132, episodic return=500.0
global step=67284, episodic return=500.0
global step=67916, episodic return=500.0
global step=68644, episodic return=378.0
global step=68788, episodic return=448.0
global step=69284, episodic return=500.0
global step=69916, episodic return=500.0
global step=70256, episodic return=403.0
global step=70788, episodic return=500.0
global step=71068, episodic return=446.0
global step=71860, episodic return=486.0
global step=72256, episodic return=500.0
global step=72788, episodic return=500.0
global step=73068, episodic return=500.0
global step=73860, episodic return=500.0
global step=74256, episodic return=500.0
global step=74788, episodic return=500.0
global step=75068, episodic return=500.0
global step=75860, episodic return=500.0
global step=76256, episodic return=500.0
global step=76788, episodic return=500.0
global step=77068, episodic return=500.0
global step=77860, episodic return=500.0
global step=78244, episodic return=497.0
global step=78788, episodic return=500.0
global step=79068, episodic return=500.0
global step=79860, episodic return=500.0
global step=80244, episodic return=500.0
global step=80788, episodic return=500.0
global step=81068, episodic return=500.0
global step=81496, episodic return=107.0
global step=81860, episodic return=500.0
global step=82244, episodic return=500.0
global step=82788, episodic return=500.0
global step=83496, episodic return=500.0
global step=83860, episodic return=500.0
global step=84088, episodic return=148.0
global step=84144, episodic return=475.0
global step=84788, episodic return=500.0
global step=85860, episodic return=500.0
global step=86088, episodic return=500.0
global step=86144, episodic return=500.0
global step=86788, episodic return=500.0
global step=87860, episodic return=500.0
global step=88088, episodic return=500.0
global step=88144, episodic return=500.0
global step=88788, episodic return=500.0
global step=89860, episodic return=500.0
global step=90088, episodic return=500.0
global step=90144, episodic return=500.0
global step=90788, episodic return=500.0
global step=91860, episodic return=500.0
global step=92088, episodic return=500.0
global step=92144, episodic return=500.0
global step=92788, episodic return=500.0
global step=93860, episodic return=500.0
global step=94088, episodic return=500.0
global step=94144, episodic return=500.0
global step=94788, episodic return=500.0
global step=95860, episodic return=500.0
global step=96088, episodic return=500.0
global step=96144, episodic return=500.0
global step=96788, episodic return=500.0
global step=97860, episodic return=500.0
global step=98088, episodic return=500.0
global step=98144, episodic return=500.0
global step=98788, episodic return=500.0
global step=99860, episodic return=500.0
global step=100088, episodic return=500.0
global step=100144, episodic return=500.0
global step=100788, episodic return=500.0
global step=101860, episodic return=500.0
global step=102088, episodic return=500.0
global step=102144, episodic return=500.0
global step=102788, episodic return=500.0
global step=103860, episodic return=500.0
global step=104088, episodic return=500.0
global step=104144, episodic return=500.0
global step=104788, episodic return=500.0
global step=105860, episodic return=500.0
global step=106088, episodic return=500.0
global step=106144, episodic return=500.0
global step=106788, episodic return=500.0
global step=107860, episodic return=500.0
global step=108088, episodic return=500.0
global step=108144, episodic return=500.0
global step=108788, episodic return=500.0
global step=109860, episodic return=500.0
global step=110088, episodic return=500.0
global step=110144, episodic return=500.0
global step=110788, episodic return=500.0
global step=111860, episodic return=500.0
global step=112088, episodic return=500.0
global step=112144, episodic return=500.0
global step=112788, episodic return=500.0
global step=113596, episodic return=363.0
global step=113860, episodic return=500.0
global step=114088, episodic return=500.0
global step=114560, episodic return=175.0
global step=114788, episodic return=500.0
global step=115596, episodic return=500.0
global step=116088, episodic return=500.0
global step=116560, episodic return=500.0
global step=116788, episodic return=500.0
global step=117596, episodic return=500.0
global step=118088, episodic return=500.0
global step=118560, episodic return=500.0
global step=118788, episodic return=500.0
global step=119596, episodic return=500.0
global step=120088, episodic return=500.0
global step=120560, episodic return=500.0
global step=120788, episodic return=500.0
global step=121596, episodic return=500.0
global step=122088, episodic return=500.0
global step=122560, episodic return=500.0
global step=122788, episodic return=500.0
global step=123596, episodic return=500.0
global step=124088, episodic return=500.0
global step=124560, episodic return=500.0
global step=124788, episodic return=500.0
global step=125596, episodic return=500.0
global step=126088, episodic return=500.0
global step=126560, episodic return=500.0
global step=126788, episodic return=500.0
global step=127596, episodic return=500.0
global step=128088, episodic return=500.0
global step=128560, episodic return=500.0
global step=128788, episodic return=500.0
global step=129596, episodic return=500.0
global step=130088, episodic return=500.0
global step=130560, episodic return=500.0
global step=130788, episodic return=500.0
global step=131596, episodic return=500.0
global step=132088, episodic return=500.0
global step=132560, episodic return=500.0
global step=132788, episodic return=500.0
global step=133596, episodic return=500.0
global step=134088, episodic return=500.0
global step=134560, episodic return=500.0
global step=134788, episodic return=500.0
global step=135596, episodic return=500.0
global step=136088, episodic return=500.0
